#IID	age	sex	PC1	PC2	PC3	PC4	PC5
SIM0103	71.76864253	0	-0.0430149	0.0481186	0.00394364	-0.00280399	-0.0319125
SIM0104	45.24262831	0	0.0444729	0.0038677	-0.0382681	-0.0065758	0.0304492
SIM0105	28.17536630	0	-0.0424417	-0.034942	0.0344767	-0.0349691	0.0108492
SIM0106	67.54970254	1	0.0408366	-0.0528896	0.0328662	-0.082188	0.0216513
SIM0107	65.45073064	0	-0.0348247	-0.0214549	-0.0359088	0.0275788	0.0588701
SIM0108	65.68988359	1	0.0428917	0.0176979	0.111449	0.0099158	-0.0266596
SIM0109	27.24307504	1	-0.0425263	-0.00629493	0.00310364	0.00222149	-0.0243614
SIM0110	50.03066490	0	0.0388972	-0.0413222	0.0227207	-0.00333455	-0.00412827
SIM0111	36.15576962	0	-0.0385156	-0.0654459	0.0247204	0.00987245	-0.0147073
SIM0112	35.95495742	0	0.044465	0.0031908	0.00156319	0.0447194	-0.0399274
SIM0113	26.56323454	0	-0.0431791	0.000815071	-0.0345422	-0.0550605	-0.0299126
SIM0114	42.33605667	0	0.0367958	0.0405327	-0.0355442	-0.0311399	-0.0424511
SIM0115	35.29463364	0	-0.034006	-0.0425257	-0.0272526	0.00425418	0.00233829
SIM0116	53.64001530	0	0.0432452	0.00901107	-0.0308442	0.0676597	-0.0561873
SIM0117	52.38583171	1	-0.0402792	0.0744368	-0.0311521	-0.0473134	0.0349193
SIM0118	64.48051912	1	0.039578	-0.0505946	0.0340033	-0.0283717	-0.00667717
SIM0119	52.76233895	0	-0.0416697	1.03762e-06	-0.0287129	0.0449674	-0.0154018
SIM0120	37.41755823	0	0.0330198	-0.000820726	-0.0472124	-0.0205811	-0.0162746
SIM0121	72.02496866	0	-0.0368669	0.0107369	-0.0333446	0.0143099	-0.059436
SIM0122	47.61754918	1	0.0380732	-0.00106324	-0.0684129	-0.0138189	0.0222789
SIM0123	40.92669350	0	-0.0423894	0.0092245	-0.0458695	-0.0676759	-0.00694629
SIM0124	39.54292928	1	0.0454686	-0.0291798	-0.0151877	-0.0341664	-0.0822586
SIM0125	37.77640591	1	-0.0365792	-0.0292734	-0.0459574	0.0136711	0.0392227
SIM0126	51.44278615	0	0.0435458	0.0278321	-0.0446272	0.00706692	0.0489451
SIM0127	39.66121164	1	-0.0413247	0.0162262	0.0262531	2.21537e-05	0.00143499
SIM0128	55.40729700	1	0.0341501	0.0884091	0.0437271	0.0658008	0.00697884
SIM0129	30.37786980	1	-0.038698	-0.0300835	0.00334345	-0.0389987	0.0639534
SIM0130	46.54546837	1	0.0455954	-0.0506189	-0.0422929	-0.0421441	0.0421101
SIM0131	50.95562421	1	-0.0450521	0.0214789	-0.0381636	0.00762527	-0.0580577
SIM0132	30.34539449	0	0.0434642	-0.0445435	0.0101195	-0.0561959	-0.0524896
SIM0133	36.64884994	0	-0.0430257	0.0363268	0.00749714	0.0218439	0.0233123
SIM0134	30.35164277	0	0.0361794	0.0187574	-0.0786464	0.0130048	0.0758669
SIM0135	37.84600202	1	-0.0364241	-0.00495525	0.0337519	0.0408918	0.0289757
SIM0136	56.03649213	1	0.0336301	0.0518506	0.00847236	-0.0159098	-0.0778642
SIM0137	38.87724305	0	-0.0403889	-0.0139869	-0.0112825	-0.055076	-0.027184
SIM0138	69.50111189	0	0.0461178	-0.0502209	-0.0822833	-0.0491538	0.00704663
SIM0139	37.22521698	0	-0.0391652	-0.0169414	-0.00863203	0.0379759	-0.00340019
SIM0140	57.10869075	0	0.037051	-0.0230602	0.0236694	-0.0656923	-0.0698566
SIM0141	33.14405826	1	-0.039162	0.0715074	-0.00784888	-0.0362152	-0.0455431
SIM0142	37.05076944	0	0.0446356	0.0396126	0.0292077	0.0315583	-0.0422773
SIM0143	63.88091796	1	-0.0369485	-0.0032129	0.0477072	0.0087337	0.0474531
SIM0144	35.94921265	0	0.045534	-0.0295498	-0.0114193	0.0686342	-0.0370168
SIM0145	66.67190493	0	-0.0460904	-0.0338299	-0.0344447	-0.0223819	-0.051398
SIM0146	51.13672572	1	0.0466097	0.04858	-0.0588795	-0.0276135	-0.0539454
SIM0147	27.92004407	1	-0.038219	-0.0307155	-0.0571146	0.0580021	0.00625103
SIM0148	37.14339818	1	0.0435361	-0.0140496	0.00336781	-0.0683563	0.00686866
SIM0149	37.71139125	1	-0.0471474	0.00766207	0.065666	-0.0153563	0.00913199
SIM0150	38.77128401	1	0.0408814	-0.00275622	-0.0174852	0.0526154	-0.0156798
SIM0151	57.13633359	0	-0.0375603	-0.00596383	-0.0287716	0.0413269	0.0483412
SIM0152	61.19259781	1	0.0453238	0.0723715	0.00924932	0.0222989	0.0602116
SIM0153	58.49755872	0	-0.0414259	-0.013928	0.0402479	-0.00865093	-0.014392
SIM0154	52.21180653	0	0.0439759	0.0396387	-0.0305443	0.0139479	-0.0552993
SIM0155	37.14129178	0	-0.0408093	0.0258637	-0.0459563	0.0115233	-0.058906
SIM0156	68.06437139	0	0.0386044	0.0441096	0.0824102	-0.00891612	0.0382085
SIM0157	26.66637121	1	-0.0401229	-0.000842145	0.0221705	0.00702858	-0.0273758
SIM0158	25.77155205	1	0.0442891	0.0166344	-0.00768852	0.0156962	-0.0554628
SIM0159	53.71612118	1	-0.0369257	-0.0190713	0.0277436	-0.0145054	0.0152232
SIM0160	58.28874913	1	0.0249102	-0.0378011	-0.107687	-0.0407653	-0.0234512
SIM0161	69.25048926	1	-0.0368573	0.0426596	-0.00455899	0.00784421	-0.0169094
SIM0162	36.46913798	1	0.0364093	0.0724113	-0.00599064	-0.0362757	-0.0259646
SIM0163	48.44609430	1	-0.0457429	-0.0588853	0.0498473	0.00275313	0.061897
SIM0164	51.36207356	1	0.044308	0.0758885	0.0572379	-0.0309112	0.0181478
SIM0165	65.38596418	1	-0.0317377	-0.0251475	-0.00248794	-0.0103126	0.0389172
SIM0166	34.27651866	1	0.0359095	-0.0115636	0.0387444	-0.0668411	0.0201697
SIM0167	64.47318619	1	-0.0424581	0.0202966	-0.0335844	0.00366443	0.0154491
SIM0168	42.37346385	0	0.0446509	-0.0351031	0.0787964	-0.022214	-0.0166109
SIM0169	55.67800332	1	-0.0449536	0.0666741	-0.0191842	-0.00656577	-0.0344
SIM0170	36.95771022	1	0.0389106	0.0339449	-0.0324926	0.050855	-0.0289822
SIM0171	51.62694405	1	-0.0430969	0.0327288	0.00825828	0.0146457	0.0169868
SIM0172	56.81582893	0	0.0425289	0.0793853	0.0142567	-0.0544979	-0.00372015
SIM0173	67.64176170	0	-0.0386611	-0.0517569	-0.0145624	-0.0455371	-0.0478274
SIM0174	34.14223305	0	0.0382685	0.016925	0.0341687	-0.0126158	0.111001
SIM0175	28.77231564	0	-0.0405939	0.0206872	0.0470489	-0.0662041	-0.045338
SIM0176	66.20407066	0	0.0402617	-0.0201045	0.0509319	-0.0871187	-0.0941146
SIM0177	56.88458203	0	-0.0360873	0.0725109	0.0541463	0.0122779	-0.0277164
SIM0178	68.14343387	1	0.0472565	0.00263301	0.0963865	-0.0305051	-0.0384178
SIM0179	43.06935063	1	-0.0431734	-0.0284833	-0.0236993	0.0356573	-0.0115228
SIM0180	72.31383411	0	0.035832	0.0456411	-0.0754369	-0.00175382	0.0489361
SIM0181	34.61633875	0	-0.0356726	-0.0606818	0.0385673	0.0401776	0.0672377
SIM0182	50.48764022	0	0.0390224	0.0348785	0.0260426	-0.0172823	-0.030659
SIM0183	65.33328392	0	-0.0383834	0.0118949	0.0133825	0.0542078	-0.00478584
SIM0184	48.98390411	0	0.0389167	0.0674354	0.133145	-0.00951779	-0.109613
SIM0185	48.40199693	1	-0.0446887	-0.0333658	0.00568956	-0.0900326	0.0537777
SIM0186	44.45925378	0	0.0458965	-0.0345052	0.060678	0.00953034	0.0748176
SIM0187	63.54118632	1	-0.0430778	0.0184104	-0.0358472	0.0217059	0.0627074
SIM0188	43.23667858	0	0.0361417	-0.0773532	-0.043881	-0.0206397	-0.000892724
SIM0189	63.57323935	0	-0.0474136	-0.0342351	-0.0719826	0.00577123	-0.0302079
SIM0190	73.01211516	0	0.0389705	-0.0259234	0.0260724	-0.0261938	0.0255322
SIM0191	57.18715764	0	-0.0427004	-0.0962171	-0.0391822	-0.0411105	0.0258345
SIM0192	53.26555651	1	0.045227	0.01364	0.077766	0.0418085	0.0722134
SIM0193	48.62762975	1	-0.0400931	0.00440287	-0.00499427	-0.0457549	0.0055343
SIM0194	62.28507156	0	0.0389569	-0.115611	0.00876225	0.0426756	-0.0128951
SIM0195	48.30074937	1	-0.0434827	-0.00221201	0.00330175	-0.0819064	0.0476052
SIM0196	53.37569484	0	0.0451025	-0.0155821	0.0368909	-0.0979475	0.0303645
SIM0197	62.62594392	0	-0.0491385	-0.0367961	0.0766527	-0.0491269	-0.0218441
SIM0198	30.47190185	0	0.03496	-0.00418517	-0.0279302	0.0207876	0.0170588
SIM0199	50.31693110	1	-0.0345027	-0.104007	0.0568395	-0.0129172	0.0149459
SIM0200	67.15418457	0	0.0495067	0.0604055	-0.0266179	0.00463204	0.0173406
SIM0201	39.43501642	1	-0.0386786	-0.000447269	-0.00549184	-0.0441497	-0.0527824
SIM0202	42.25705314	0	0.0398202	0.0353976	-0.0171658	0.0258852	-0.0326692
SIM0203	68.05113834	1	-0.0435026	-0.047461	0.0183388	-0.00455509	-4.49119e-05
SIM0204	29.45361589	0	0.0377089	-0.0652335	0.0211663	-0.0185673	0.10387
SIM0205	47.93554690	1	-0.0424284	-0.0209247	0.0670483	0.0381596	-0.0374236
SIM0206	48.54443600	0	0.0457072	-0.02075	0.00640165	0.0276514	-0.00916511
SIM0207	44.94687142	0	-0.043362	0.00849373	0.0447362	0.0939656	-0.0222836
SIM0208	47.67046867	1	0.0404672	0.00358265	0.0219632	0.0192016	-0.0461599
SIM0209	59.94480969	0	-0.0393031	-0.00743499	-0.0233911	0.0325505	-0.0305292
SIM0210	42.80271854	0	0.0390197	0.0449049	-0.00310459	-0.00954586	0.0303356
SIM0211	30.69394231	0	-0.0355379	-0.0225638	0.0373875	0.0317255	0.00818408
SIM0212	60.81844675	1	0.0430848	-0.00423961	0.014414	0.00845654	-0.0286572
SIM0213	54.98493771	1	-0.0412167	-0.0102117	-0.0159835	0.00706431	0.00075992
SIM0214	35.08598488	1	0.0305636	0.0003493	-0.0439903	0.0359893	-0.0450936
SIM0215	43.04946050	0	-0.0391712	0.110938	0.0288987	0.0176907	0.0231697
SIM0216	49.47198733	0	0.0486788	-0.101052	0.0362464	-0.000141969	0.0149284
SIM0217	63.65519006	1	-0.0432071	0.0263452	-0.039436	-0.0296919	0.0265092
SIM0218	58.60388321	0	0.0372316	-0.00455329	-0.0205648	0.0349319	-0.0182784
SIM0219	69.42675731	1	-0.0451981	-0.0402435	0.00993283	0.0598865	-0.0362095
SIM0220	51.39228002	0	0.0451419	-0.005854	0.0167279	0.0701629	-0.0705219
SIM0221	47.78540841	0	-0.0338472	-0.076245	0.0152088	0.0487419	0.0169833
SIM0222	44.37115370	0	0.0347283	0.0428605	0.0422106	0.0424977	-0.0337317
SIM0223	28.47980640	1	-0.040479	-0.0657005	-0.00710349	0.0379359	0.0266859
SIM0224	53.30593734	1	0.0444637	0.0369041	-0.00728417	-0.00687167	0.0121735
SIM0225	56.83263043	0	-0.0442097	-0.0155748	0.0854458	0.0126053	0.0466569
SIM0226	41.29252401	0	0.0439394	0.00234799	0.0154119	-0.0660438	-0.00450851
SIM0227	49.86820656	1	-0.0404959	-0.0371922	-0.0703914	-0.0370656	0.0211787
SIM0228	58.83666846	0	0.0464222	0.021142	0.00171092	-0.0201875	-0.0235216
SIM0229	42.68216354	0	-0.0297675	0.00724752	0.0229708	-0.0202875	-0.0448391
SIM0230	48.00171071	1	0.0305503	0.0250559	0.014889	-0.00846567	-0.0341013
SIM0231	55.12135377	0	-0.0373256	0.0268101	-0.0164024	0.0292539	0.0062181
SIM0232	51.76276480	0	0.0337273	0.0123789	0.0411094	0.0221169	-0.0333711
SIM0233	60.51980229	0	-0.0403122	0.0495191	0.00886223	-0.015943	0.0196286
SIM0234	59.90342740	0	0.0442989	-0.0590695	-0.0290103	0.00655805	0.0372704
SIM0235	34.82564760	1	-0.0348996	-0.0198603	-0.0378199	0.00674361	-0.0339141
SIM0236	50.31070896	0	0.0407147	-0.0619334	0.00774642	-0.021826	0.101046
SIM0237	64.02841524	1	-0.0475751	0.0259282	-0.0139857	-0.0264311	0.0586263
SIM0238	26.04303654	0	0.0496142	-0.0156962	0.000607966	0.0312606	0.0127355
SIM0239	52.66825165	1	-0.0387544	0.0194278	0.0127465	0.0366944	-0.0553721
SIM0240	32.69351706	1	0.0430119	-0.0394688	-0.0278278	0.0478006	0.0295211
SIM0241	57.70145126	1	-0.041205	0.0040385	-0.00737714	0.00905094	-0.00733856
SIM0242	42.06697359	0	0.0424918	-0.0207806	0.032308	0.0539	0.0330987
SIM0243	68.20871895	0	-0.0442592	-0.0040968	0.00796024	-0.0400374	-0.0352391
SIM0244	70.09017297	0	0.0495611	0.0329966	0.0196441	0.0416666	0.0682468
SIM0245	30.74015610	1	-0.0407825	-0.0171829	0.0251029	-0.000738964	0.0277548
SIM0246	71.23649077	1	0.0366234	-0.0552071	-0.0546875	0.0377719	0.0399337
SIM0247	36.30735546	0	-0.037387	-0.0221885	-0.0671706	-0.0420973	-0.0374259
SIM0248	58.62196199	0	0.0372818	0.0364193	-1.61328e-05	0.0299315	0.0249678
SIM0249	64.93983403	1	-0.0481533	-0.0338933	0.0604289	-0.0544879	-0.0413955
SIM0250	52.78249520	0	0.0403348	0.00449804	0.0130857	-0.00739796	0.0482889
SIM0251	44.32665043	0	-0.0414774	-0.0266229	0.0219494	-0.0625307	0.0219965
SIM0252	26.54156055	0	0.0444875	0.0472767	-0.0394001	-0.0251473	0.0629312
SIM0253	36.01647624	1	-0.0394485	-0.0205845	0.0462254	0.102279	-0.0367616
SIM0254	74.36422714	0	0.0466055	0.115837	0.0255109	0.110014	0.0102881
SIM0255	62.33736293	1	-0.0392635	0.0138933	0.0224345	-0.0871595	0.0126367
SIM0256	62.95779483	0	0.0353197	0.0174387	-0.0640758	-0.0170364	0.0918425
SIM0257	29.95825476	0	-0.0439692	0.0205998	0.030459	0.00580882	0.057203
SIM0258	38.20543318	1	0.0367641	-0.0535636	-0.0242935	-0.0273864	0.0153083
SIM0259	64.28809853	1	-0.0378985	0.00647224	-0.0638057	0.0190402	-0.0401402
SIM0260	36.22749159	0	0.0380932	0.0596465	0.0264615	0.0229903	-0.083948
SIM0261	47.19829935	0	-0.0422314	-0.00679112	0.0357365	-0.00367873	-0.000442589
SIM0262	33.07728858	1	0.0453465	-0.000279252	-0.0286058	0.0423973	0.0166192
SIM0263	49.26944399	0	-0.0410475	-0.00534522	0.0414867	0.0799037	0.00793247
SIM0264	61.44421152	0	0.0314887	-0.0102927	-0.0112065	0.0123545	0.0496215
SIM0265	63.36432018	1	-0.0405964	-0.038121	0.00631094	-0.0231419	-0.0449513
SIM0266	28.52235540	0	0.0508568	0.0489763	-0.0354569	0.0306925	0.0061622
SIM0267	37.11653727	1	-0.0406146	0.0357224	-0.0540048	0.0062272	-0.00971649
SIM0268	61.84497241	0	0.0339021	-0.094225	0.0399513	0.00608679	0.068042
SIM0269	74.79849246	1	-0.0416593	0.0762551	0.0307283	0.00116199	0.0491023
SIM0270	38.49325928	1	0.0365248	-0.0385761	0.0331434	0.0013175	-0.021228
SIM0271	60.69966447	0	-0.0453608	-0.0597305	-0.0283838	-0.0624935	-0.0487576
SIM0272	64.85682923	0	0.048556	-0.0332102	-0.0203354	-0.0471744	-0.00180767
SIM0273	29.17845328	1	-0.0407846	0.0106916	-0.032578	0.0447006	-0.0447007
SIM0274	55.89639445	0	0.041438	0.095204	0.0266279	0.0044749	-0.0027357
SIM0275	62.39376409	0	-0.039916	0.0122672	0.00466293	-0.0352018	0.0404839
SIM0276	43.20539841	0	0.0455262	-0.0314311	0.0153646	-0.0392777	0.00177032
SIM0277	46.85496501	0	-0.0410987	0.00127091	-0.00869042	-0.0323049	0.0144769
SIM0278	52.04880802	0	0.0394286	-0.054822	-0.027297	-0.055189	0.0157382
SIM0279	34.38372440	0	-0.040355	0.0361811	-0.00590781	-0.0552324	0.0641774
SIM0280	28.56798204	0	0.043846	0.00829463	0.120074	0.0309417	-0.0237804
SIM0281	33.34225734	0	-0.0423349	0.0919394	0.0231765	0.0137548	-0.0197809
SIM0282	62.69286094	0	0.0381013	-0.0761485	-0.0434126	0.0403011	-0.0675139
SIM0283	64.67751114	0	-0.0332211	0.0214209	-0.00713236	0.0321156	-0.0434707
SIM0284	72.95615260	1	0.0308309	0.0179506	-0.0416873	0.0764253	-0.0675845
SIM0285	62.56269248	0	-0.0443366	-0.00331654	0.0130452	-0.0113334	-0.0297432
SIM0286	66.07683089	1	0.0344579	0.0560517	-0.00530554	0.027138	0.0511671
SIM0287	43.30650722	0	-0.0405044	0.10124	0.0195307	-0.0703008	-0.0235801
SIM0288	63.95612614	1	0.0408529	-0.00308733	0.0901285	0.00092596	0.0620504
SIM0289	68.33856243	1	-0.03708	-0.010813	0.0346233	-0.0175849	-0.0152548
SIM0290	49.37919858	1	0.0382951	-0.023916	-0.0326556	0.0291342	-0.00458445
SIM0291	39.86011317	1	-0.03973	-0.0242567	-0.0485343	0.00264315	-0.0331159
SIM0292	27.78332200	1	0.0345888	0.00434543	0.000442484	0.0487702	0.00764013
SIM0293	66.86835779	0	-0.04156	0.0109654	-0.00823225	0.0211882	-0.0255623
SIM0294	32.62780163	1	0.0381327	0.0682841	-0.0444259	0.061306	-0.0571702
SIM0295	38.88771385	0	-0.0401268	-0.0325466	0.0261401	0.0481539	0.0109177
SIM0296	30.66541420	1	0.0446766	-0.0627686	0.0310832	-0.0298612	0.0555617
SIM0297	30.40012482	0	-0.0381173	-0.00485229	0.0191244	-0.030235	0.0177401
SIM0298	63.89725790	0	0.0442522	-0.0499911	-0.00109464	-0.0169892	0.0411445
SIM0299	37.61642888	0	-0.0394449	0.0220359	0.0550189	0.0491335	0.0451494
SIM0300	51.97195125	1	0.0432037	-0.0429921	0.0329133	0.0339234	-0.00986044
SIM0301	60.42593263	1	-0.0373345	-0.00406107	0.0333434	-0.0208073	0.00494014
SIM0302	46.62523149	0	0.0460564	-0.011085	0.0524177	-0.027464	0.0736691
